,City,Country,Date,Lat,Lng,Temp,Humidity,Wind Speed,Cloudiness
0,Castro,CL,1553850000,-42.48,-73.76,46.4,100,4.7,90
1,Ponta do Sol,BR,1553852223,-20.63,-46.0,66.28,77,8.23,32
2,Vaini,IN,1553850000,15.34,74.49,98.6,34,5.82,40
3,Tuktoyaktuk,CA,1553852228,69.44,-133.03,22.63,83,6.06,56
4,Suntar,RU,1553851999,62.16,117.65,30.55,58,2.82,48
5,Conakry,GN,1553850000,9.52,-13.7,82.4,78,6.93,40
6,Henties Bay,NA,1553850132,-22.12,14.28,70.0,78,3.0,92
7,Zhanakorgan,KZ,1553852007,43.91,67.25,54.85,80,5.5,76
8,Kununurra,AU,1553850000,-15.77,128.74,95.0,30,8.05,0
9,Wenling,CN,1553852078,28.38,121.38,61.0,87,1.01,80
10,Atuona,PF,1553852246,-9.8,-139.03,81.94,100,15.61,64
11,Victoria,BN,1553850000,5.28,115.24,86.0,74,3.36,75
12,San Rafael,AR,1553852251,-34.61,-68.33,45.85,86,1.86,0
13,Vao,EE,1553852254,59.1,26.19,42.79,87,11.54,32
14,Khatanga,RU,1553852256,71.98,102.47,24.25,87,20.6,80
15,Esna,RO,1553852258,45.2,27.57,48.73,67,9.35,12
16,Kapaa,US,1553852001,22.08,-159.32,71.6,82,6.93,75
17,Mataura,NZ,1553851807,-46.19,168.86,52.0,93,3.31,8
18,Albany,US,1553852261,42.65,-73.75,50.0,49,11.41,90
19,Padang,ID,1553846400,-0.92,100.36,87.8,74,5.82,20
20,Busselton,AU,1553852221,-33.64,115.35,73.0,22,15.57,0
21,Aksu,KZ,1553850000,52.04,76.93,53.6,54,6.71,90
22,Bluff,AU,1553852071,-23.58,149.07,75.28,92,7.9,88
23,Thompson,CA,1553850000,55.74,-97.86,14.0,56,11.41,75
24,Cherskiy,RU,1553852282,68.75,161.3,4.36,79,7.52,88
25,Fundacion,PH,1553852285,10.64,122.18,87.07,54,10.58,12
26,Narsaq,GL,1553852287,60.91,-46.05,-4.11,48,3.98,32
27,Punta Arenas,CL,1553851946,-53.16,-70.91,57.2,54,20.8,0
28,New Norfolk,AU,1553852239,-42.78,147.06,69.8,43,9.17,40
29,Aksarka,RU,1553852294,66.56,67.8,31.81,98,9.01,24
30,Ayagoz,KZ,1553852297,47.96,80.43,60.25,83,10.8,0
31,Rikitea,PF,1553852299,-23.12,-134.97,75.1,100,14.12,68
32,Cidreira,BR,1553852120,-30.17,-50.22,68.08,91,13.11,0
33,Senneterre,CA,1553850000,48.39,-77.24,12.2,78,4.7,1
34,East London,ZA,1553850000,-33.02,27.91,77.0,53,10.29,0
35,Hilo,US,1553852297,19.71,-155.08,71.6,73,6.55,90
36,Chokurdakh,RU,1553852313,70.62,147.9,15.52,69,15.35,68
37,Butaritari,KI,1553852316,3.07,172.79,78.88,100,10.76,80
38,Kavieng,PG,1553852318,-2.57,150.8,84.64,99,7.74,44
39,Longhua,CN,1553852320,29.21,106.21,82.48,49,4.27,0
40,Kaitangata,NZ,1553852217,-46.28,169.85,57.0,79,4.0,12
41,Qaanaaq,GL,1553852328,77.48,-69.36,-8.97,80,6.11,56
42,Bambous Virieux,MU,1553852045,-20.34,57.76,86.0,70,8.05,40
43,Lebu,ET,1553850000,8.96,38.73,75.2,38,9.17,75
44,Buraydah,SA,1553850000,26.33,43.97,78.8,31,12.75,0
45,Yellowknife,CA,1553852190,62.45,-114.38,21.0,85,3.36,5
46,Ust-Kulom,RU,1553852342,61.69,53.69,41.35,71,3.83,12
47,Provideniya,RU,1553852344,64.42,-173.23,29.11,93,14.34,92
48,Beringovskiy,RU,1553852347,63.05,179.32,30.46,95,20.71,92
49,Medicine Hat,CA,1553851889,50.04,-110.68,28.0,85,4.7,1
50,Whitehorse,CA,1553852223,60.72,-135.06,28.4,74,4.7,20
51,Coquimbo,CL,1553850000,-29.95,-71.34,50.0,93,8.05,0
52,Amudat,UG,1553852356,1.95,34.95,82.93,60,5.88,0
53,Lubango,AO,1553852361,-14.92,13.49,76.09,87,3.27,48
54,Great Bend,US,1553851865,38.36,-98.78,45.0,100,13.87,90
55,Cockburn Town,TC,1553852191,21.46,-71.14,76.72,100,7.0,0
56,Saskylakh,RU,1553852368,71.97,114.09,19.21,81,15.28,32
57,Cedral,MX,1553852370,23.82,-100.72,57.28,72,4.88,64
58,Jaciara,BR,1553852372,-15.95,-54.98,75.28,85,2.82,48
59,Geraldton,CA,1553850000,49.72,-86.95,12.2,66,3.36,75
60,San Policarpo,PH,1553852377,12.18,125.51,79.87,85,8.9,0
61,Upernavik,GL,1553852380,72.79,-56.15,7.87,100,8.75,68
62,San Cristobal,EC,1553851821,-0.39,-78.55,57.2,93,4.7,90
63,Rawson,AR,1553852385,-43.3,-65.11,49.63,77,6.55,0
64,Hambantota,LK,1553850600,6.12,81.12,89.6,62,10.29,20
65,Lodja,CD,1553852390,-3.52,23.6,87.07,77,3.31,0
66,Georgetown,GY,1553850000,6.8,-58.16,71.6,94,4.7,20
67,Hobart,AU,1553852239,-42.88,147.33,69.8,43,9.17,40
68,Ushuaia,AR,1553850000,-54.81,-68.31,57.2,54,20.8,75
69,Agadez,NE,1553850000,16.97,7.99,95.0,7,16.11,0
70,Pevek,RU,1553852404,69.7,170.27,-7.8,62,8.52,0
71,Makakilo City,US,1553852223,21.35,-158.09,73.4,93,6.93,90
72,Aix-en-Provence,FR,1553852214,43.53,5.45,64.0,62,4.7,0
73,Noumea,NC,1553850000,-22.28,166.46,78.8,69,3.36,75
74,Ahipara,NZ,1553852418,-35.17,173.16,66.55,91,12.26,92
75,Balad,ID,1553852421,-6.76,108.42,84.64,100,8.9,0
76,Guarapari,BR,1553852052,-20.67,-40.5,73.99,100,4.7,75
77,Tasiilaq,GL,1553849400,65.61,-37.64,12.2,66,6.93,0
78,Cuamba,MZ,1553852430,-14.8,36.54,80.95,72,4.76,0
79,Oksfjord,NO,1553852409,70.24,22.35,33.01,99,25.28,75
80,Mahanoro,MG,1553852435,-19.9,48.8,81.4,79,3.71,24
81,Taoudenni,ML,1553852437,22.68,-3.98,84.55,32,8.63,92
82,Turukhansk,RU,1553852440,65.8,87.96,30.1,94,16.96,88
83,Nhulunbuy,AU,1553850000,-12.18,136.78,82.4,78,5.82,64
84,Kodiak,US,1553852357,39.95,-94.76,46.99,87,14.99,90
85,Cape Town,ZA,1553852291,-33.93,18.42,75.99,68,4.7,20
86,Cabo San Lucas,MX,1553851904,22.89,-109.91,72.0,48,10.13,0
87,Leningradskiy,RU,1553852451,69.38,178.42,-4.02,78,1.36,48
88,Port Alfred,ZA,1553852454,-33.59,26.89,72.31,74,9.64,12
89,Fukue,JP,1553852309,35.03,136.69,57.99,57,8.05,0
